,county,school_dist,school_dist_code,final_grad_base,graduates_total,graduation_rate,completers_total,completion_rate
123,OTERO,MANZANOLA 3J,2535.0,11.0,10.0,90.9,10.0,90.9
124,OTERO,FOWLER R-4J,2540.0,12.0,12.0,100.0,12.0,100.0
125,OTERO,CHERAW 31,2560.0,10.0,8.0,80.0,8.0,80.0
126,OTERO,SWINK 33,2570.0,15.0,15.0,100.0,15.0,100.0
127,OURAY,OURAY R-1,2580.0,11.0,8.0,72.7,8.0,72.7
128,OURAY,RIDGWAY R-2,2590.0,6.0,4.0,66.7,5.0,83.3
129,PARK,PLATTE CANYON 1,2600.0,30.0,20.0,66.7,21.0,70.0
130,PARK,PARK COUNTY RE-2,2610.0,13.0,7.0,53.8,8.0,61.5
131,PHILLIPS,HOLYOKE RE-1J,2620.0,23.0,17.0,73.9,17.0,73.9
132,PHILLIPS,HAXTUN RE-2J,2630.0,8.0,7.0,87.5,8.0,100.0
133,PITKIN,ASPEN 1,2640.0,16.0,13.0,81.3,14.0,87.5
134,PROWERS,GRANADA RE-1,2650.0,9.0,9.0,100.0,9.0,100.0
135,PROWERS,LAMAR RE-2,2660.0,82.0,47.0,57.3,51.0,62.2
136,PROWERS,HOLLY RE-3,2670.0,13.0,13.0,100.0,13.0,100.0
137,PROWERS,WILEY RE-13 JT,2680.0,11.0,7.0,63.6,7.0,63.6
138,PUEBLO,PUEBLO CITY 60,2690.0,876.0,490.0,55.9,538.0,61.4
139,PUEBLO,PUEBLO COUNTY 70,20.0,287.0,218.0,76.0,238.0,82.9
140,RIO BLANCO,MEEKER RE1,2710.0,9.0,8.0,88.9,8.0,88.9
141,RIO BLANCO,RANGELY RE-4,2720.0,6.0,5.0,83.3,5.0,83.3
142,RIO GRANDE,DEL NORTE C-7,2730.0,26.0,21.0,80.8,22.0,84.6
143,RIO GRANDE,MONTE VISTA C-8,2740.0,74.0,45.0,60.8,55.0,74.3
144,RIO GRANDE,SARGENT RE-33J,2750.0,15.0,13.0,86.7,15.0,100.0
145,ROUTT,HAYDEN RE-1,2760.0,8.0,7.0,87.5,7.0,87.5
146,ROUTT,STEAMBOAT SPRINGS RE-2,2770.0,24.0,15.0,62.5,15.0,62.5
147,ROUTT,SOUTH ROUTT RE 3,2780.0,12.0,12.0,100.0,12.0,100.0
148,SAGUACHE,MOUNTAIN VALLEY RE 1,2790.0,8.0,7.0,87.5,7.0,87.5
149,SAGUACHE,MOFFAT 2,2800.0,14.0,12.0,85.7,12.0,85.7
150,SAGUACHE,CENTER 26 JT,2810.0,36.0,27.0,75.0,27.0,75.0
151,SAN JUAN,SILVERTON 1,2820.0,2.0,2.0,100.0,2.0,100.0
152,SAN MIGUEL,TELLURIDE R-1,2830.0,5.0,3.0,60.0,3.0,60.0
153,SAN MIGUEL,NORWOOD R-2J,2840.0,5.0,5.0,100.0,5.0,100.0
154,SEDGWICK,JULESBURG RE-1,2862.0,219.0,33.0,15.1,62.0,28.3
155,SEDGWICK,PLATTE VALLEY RE-3,2865.0,3.0,3.0,100.0,3.0,100.0
156,SUMMIT,SUMMIT RE-1,3000.0,74.0,50.0,67.6,53.0,71.6
157,TELLER,CRIPPLE CREEK-VICTOR RE-1,3010.0,34.0,24.0,70.6,25.0,73.5
158,TELLER,WOODLAND PARK RE-2,3020.0,61.0,47.0,77.0,53.0,86.9
159,WASHINGTON,AKRON R-1,3030.0,17.0,16.0,94.1,16.0,94.1
160,WASHINGTON,ARICKAREE R-2,3040.0,0.0,0.0,0.0,0.0,0.0
161,WASHINGTON,OTIS R-3,3050.0,6.0,6.0,100.0,6.0,100.0
162,WASHINGTON,LONE STAR 101,3060.0,6.0,5.0,83.3,5.0,83.3
163,WASHINGTON,WOODLIN R-104,3070.0,3.0,3.0,100.0,3.0,100.0
164,WELD,WELD COUNTY RE-1,3080.0,54.0,38.0,70.4,40.0,74.1
165,WELD,EATON RE-2,3085.0,26.0,21.0,80.8,22.0,84.6
166,WELD,KEENESBURG RE-3(J),3090.0,65.0,59.0,90.8,59.0,90.8
167,WELD,WINDSOR RE-4,3100.0,57.0,45.0,78.9,47.0,82.5
168,WELD,JOHNSTOWN-MILLIKEN RE-5J,3110.0,69.0,43.0,62.3,50.0,72.5
169,WELD,GREELEY 6,3120.0,794.0,571.0,71.9,600.0,75.6
170,WELD,PLATTE VALLEY RE-7,3130.0,48.0,40.0,83.3,41.0,85.4
171,WELD,WELD COUNTY S/D RE-8,3140.0,104.0,76.0,73.1,82.0,78.8
172,WELD,AULT-HIGHLAND RE-9,3145.0,37.0,35.0,94.6,37.0,100.0
173,WELD,BRIGGSDALE RE-10,3146.0,8.0,8.0,100.0,8.0,100.0
174,WELD,PRAIRIE RE-11,3147.0,6.0,6.0,100.0,6.0,100.0
175,WELD,PAWNEE RE-12,3148.0,2.0,2.0,100.0,2.0,100.0
176,YUMA,YUMA 1,3200.0,30.0,25.0,83.3,26.0,86.7
177,YUMA,WRAY RD-2,3210.0,19.0,16.0,84.2,16.0,84.2
178,YUMA,IDALIA RJ-3,3220.0,8.0,8.0,100.0,8.0,100.0
179,YUMA,LIBERTY J-4,3230.0,3.0,3.0,100.0,3.0,100.0
180,DENVER,CHARTER SCHOOL INSTITUTE,8001.0,760.0,166.0,21.8,185.0,24.3
181,COLORADO BOCS,MOUNTAIN BOCES,9030.0,56.0,35.0,62.5,43.0,76.8
182,COLORADO BOCS,CENTENNIAL BOCES,9035.0,14.0,5.0,35.7,6.0,42.9
183,COLORADO BOCS,SAN JUAN BOCES,9050.0,4.0,1.0,25.0,3.0,75.0
184,COLORADO BOCS,EXPEDITIONARY BOCES,9130.0,3.0,3.0,100.0,3.0,100.0
185,STATE TOTAL,STATE TOTAL,9999.0,25718.0,15791.0,61.4,16726.0,65.0
186,STATE TOTAL,STATE TOTAL,9999.0,25718.0,15791.0,61.4,16726.0,65.0
