,county,school_dist,school_dist_code,final_grad_base,graduates_total,graduation_rate,completers_total,completion_rate
59,EL PASO,PEYTON 23 JT,1060.0,4.0,4.0,100.0,4.0,100.0
60,EL PASO,HANOVER 28,1070.0,2.0,2.0,100.0,2.0,100.0
61,EL PASO,LEWIS-PALMER 38,1080.0,33.0,16.0,48.5,16.0,48.5
62,EL PASO,FALCON 49,1110.0,78.0,50.0,64.1,50.0,64.1
63,EL PASO,EDISON 54 JT,1120.0,2.0,2.0,100.0,2.0,100.0
64,EL PASO,MIAMI/YODER 60 JT,1130.0,2.0,1.0,50.0,1.0,50.0
65,FREMONT,CANON CITY RE-1,1140.0,42.0,22.0,52.4,22.0,52.4
66,FREMONT,FREMONT RE-2,1150.0,9.0,7.0,77.8,7.0,77.8
67,FREMONT,COTOPAXI RE-3,1160.0,2.0,1.0,50.0,1.0,50.0
68,GARFIELD,ROARING FORK RE-1,1180.0,34.0,27.0,79.4,28.0,82.4
69,GARFIELD,GARFIELD RE-2,1195.0,21.0,16.0,76.2,16.0,76.2
70,GARFIELD,GARFIELD 16,1220.0,4.0,3.0,75.0,3.0,75.0
71,GILPIN,GILPIN COUNTY RE-1,1330.0,5.0,2.0,40.0,2.0,40.0
72,GRAND,WEST GRAND 1-JT.,1340.0,1.0,1.0,100.0,1.0,100.0
73,GRAND,EAST GRAND 2,1350.0,4.0,1.0,25.0,2.0,50.0
74,GUNNISON,GUNNISON WATERSHED RE1J,1360.0,9.0,6.0,66.7,7.0,77.8
75,HINSDALE,HINSDALE COUNTY RE 1,1380.0,1.0,1.0,100.0,1.0,100.0
76,HUERFANO,HUERFANO RE-1,1390.0,5.0,4.0,80.0,5.0,100.0
77,HUERFANO,LA VETA RE-2,1400.0,2.0,2.0,100.0,2.0,100.0
78,JACKSON,NORTH PARK R-1 ,1410.0,2.0,1.0,50.0,1.0,50.0
79,JEFFERSON,JEFFERSON COUNTY R-1,1420.0,602.0,378.0,62.8,392.0,65.1
80,KIOWA,EADS RE-1,1430.0,0.0,0.0,0.0,0.0,0.0
81,KIOWA,PLAINVIEW RE-2,1440.0,0.0,0.0,0.0,0.0,0.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1450.0,1.0,1.0,100.0,1.0,100.0
83,KIT CARSON,HI-PLAINS R-23,1460.0,2.0,1.0,50.0,1.0,50.0
84,KIT CARSON,STRATTON R-4,1480.0,4.0,3.0,75.0,4.0,100.0
85,KIT CARSON,BETHUNE R-5,1490.0,0.0,0.0,0.0,0.0,0.0
86,KIT CARSON,BURLINGTON RE-6J,1500.0,8.0,4.0,50.0,4.0,50.0
87,LAKE,LAKE COUNTY R-1,1510.0,10.0,3.0,30.0,4.0,40.0
88,LA PLATA,DURANGO 9-R,1520.0,34.0,22.0,64.7,23.0,67.6
89,LA PLATA,BAYFIELD 10 JT-R,1530.0,4.0,4.0,100.0,4.0,100.0
90,LA PLATA,IGNACIO 11 JT,1540.0,8.0,3.0,37.5,3.0,37.5
91,LARIMER,POUDRE R-1,1550.0,190.0,110.0,57.9,114.0,60.0
92,BOULDER,THOMPSON R2-J,1560.0,118.0,61.0,51.7,64.0,54.2
93,LARIMER,PARK (ESTES PARK) R-3,1570.0,8.0,4.0,50.0,4.0,50.0
94,LAS ANIMAS,TRINIDAD 1,1580.0,12.0,9.0,75.0,10.0,83.3
95,LAS ANIMAS,PRIMERO REORGANIZED 2,1590.0,0.0,0.0,0.0,0.0,0.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1600.0,1.0,1.0,100.0,1.0,100.0
97,LAS ANIMAS,AGUILAR REORGANIZED 6,1620.0,3.0,0.0,0.0,0.0,0.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,1750.0,2.0,0.0,0.0,0.0,0.0
99,LAS ANIMAS,KIM REORGANIZED 88,1760.0,0.0,0.0,0.0,0.0,0.0
100,LINCOLN,GENOA-HUGO C113,1780.0,2.0,0.0,0.0,0.0,0.0
101,LINCOLN,LIMON RE-4J,1790.0,8.0,6.0,75.0,6.0,75.0
102,LINCOLN,KARVAL RE-23,1810.0,2.0,1.0,50.0,1.0,50.0
103,LOGAN,VALLEY RE-1,1828.0,22.0,12.0,54.5,14.0,63.6
104,LOGAN,FRENCHMAN RE-3,1850.0,2.0,2.0,100.0,2.0,100.0
105,LOGAN,BUFFALO RE-4J,1860.0,2.0,2.0,100.0,2.0,100.0
106,LOGAN,PLATEAU RE-5,1870.0,0.0,0.0,0.0,0.0,0.0
107,MESA,DE BEQUE 49JT,1980.0,0.0,0.0,0.0,0.0,0.0
108,MESA,PLATEAU VALLEY 50,1990.0,23.0,5.0,21.7,5.0,21.7
109,MESA,MESA COUNTY VALLEY 51,2000.0,192.0,111.0,57.8,114.0,59.4
110,MINERAL,CREEDE SCHOOL DISTRICT,2010.0,0.0,0.0,0.0,0.0,0.0
111,MOFFAT,MOFFAT COUNTY RE:NO 1,2020.0,10.0,8.0,80.0,8.0,80.0
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,2035.0,27.0,11.0,40.7,11.0,40.7
113,MONTEZUMA,DOLORES RE-4A,2055.0,1.0,0.0,0.0,0.0,0.0
114,MONTEZUMA,MANCOS RE-6,2070.0,2.0,2.0,100.0,2.0,100.0
115,MONTROSE,MONTROSE COUNTY RE-1J,2180.0,31.0,13.0,41.9,13.0,41.9
116,MONTROSE,WEST END RE-2,2190.0,1.0,1.0,100.0,1.0,100.0
117,MORGAN,BRUSH RE-2(J),2395.0,10.0,6.0,60.0,7.0,70.0
118,MORGAN,FORT MORGAN RE-3,2405.0,16.0,7.0,43.8,8.0,50.0
119,MORGAN,WELDON VALLEY RE-20(J),2505.0,1.0,1.0,100.0,1.0,100.0
120,MORGAN,WIGGINS RE-50(J),2515.0,1.0,1.0,100.0,1.0,100.0
121,OTERO,EAST OTERO R-1,2520.0,13.0,7.0,53.8,7.0,53.8
122,OTERO,ROCKY FORD R-2,2530.0,5.0,3.0,60.0,3.0,60.0
123,OTERO,MANZANOLA 3J,2535.0,1.0,1.0,100.0,1.0,100.0
124,OTERO,FOWLER R-4J,2540.0,2.0,2.0,100.0,2.0,100.0
125,OTERO,CHERAW 31,2560.0,1.0,0.0,0.0,0.0,0.0
126,OTERO,SWINK 33,2570.0,2.0,2.0,100.0,2.0,100.0
127,OURAY,OURAY R-1,2580.0,5.0,4.0,80.0,4.0,80.0
128,OURAY,RIDGWAY R-2,2590.0,3.0,1.0,33.3,2.0,66.7
129,PARK,PLATTE CANYON 1,2600.0,12.0,8.0,66.7,8.0,66.7
130,PARK,PARK COUNTY RE-2,2610.0,3.0,1.0,33.3,1.0,33.3
131,PHILLIPS,HOLYOKE RE-1J,2620.0,3.0,2.0,66.7,2.0,66.7
132,PHILLIPS,HAXTUN RE-2J,2630.0,3.0,2.0,66.7,3.0,100.0
133,PITKIN,ASPEN 1,2640.0,8.0,6.0,75.0,8.0,100.0
134,PROWERS,GRANADA RE-1,2650.0,1.0,1.0,100.0,1.0,100.0
135,PROWERS,LAMAR RE-2,2660.0,7.0,6.0,85.7,6.0,85.7
136,PROWERS,HOLLY RE-3,2670.0,2.0,2.0,100.0,2.0,100.0
137,PROWERS,WILEY RE-13 JT,2680.0,0.0,0.0,0.0,0.0,0.0
138,PUEBLO,PUEBLO CITY 60,2690.0,127.0,36.0,28.3,38.0,29.9
139,PUEBLO,PUEBLO COUNTY 70,20.0,44.0,27.0,61.4,29.0,65.9
140,RIO BLANCO,MEEKER RE1,2710.0,2.0,2.0,100.0,2.0,100.0
141,RIO BLANCO,RANGELY RE-4,2720.0,3.0,3.0,100.0,3.0,100.0
142,RIO GRANDE,DEL NORTE C-7,2730.0,5.0,5.0,100.0,5.0,100.0
143,RIO GRANDE,MONTE VISTA C-8,2740.0,6.0,2.0,33.3,2.0,33.3
144,RIO GRANDE,SARGENT RE-33J,2750.0,0.0,0.0,0.0,0.0,0.0
145,ROUTT,HAYDEN RE-1,2760.0,7.0,6.0,85.7,6.0,85.7
146,ROUTT,STEAMBOAT SPRINGS RE-2,2770.0,22.0,11.0,50.0,11.0,50.0
147,ROUTT,SOUTH ROUTT RE 3,2780.0,4.0,4.0,100.0,4.0,100.0
148,SAGUACHE,MOUNTAIN VALLEY RE 1,2790.0,1.0,1.0,100.0,1.0,100.0
149,SAGUACHE,MOFFAT 2,2800.0,2.0,2.0,100.0,2.0,100.0
150,SAGUACHE,CENTER 26 JT,2810.0,6.0,3.0,50.0,3.0,50.0
151,SAN JUAN,SILVERTON 1,2820.0,0.0,0.0,0.0,0.0,0.0
152,SAN MIGUEL,TELLURIDE R-1,2830.0,5.0,2.0,40.0,4.0,80.0
153,SAN MIGUEL,NORWOOD R-2J,2840.0,0.0,0.0,0.0,0.0,0.0
154,SEDGWICK,JULESBURG RE-1,2862.0,44.0,3.0,6.8,6.0,13.6
155,SEDGWICK,PLATTE VALLEY RE-3,2865.0,0.0,0.0,0.0,0.0,0.0
156,SUMMIT,SUMMIT RE-1,3000.0,27.0,17.0,63.0,17.0,63.0
157,TELLER,CRIPPLE CREEK-VICTOR RE-1,3010.0,4.0,2.0,50.0,2.0,50.0
158,TELLER,WOODLAND PARK RE-2,3020.0,15.0,13.0,86.7,14.0,93.3
159,WASHINGTON,AKRON R-1,3030.0,4.0,3.0,75.0,3.0,75.0
160,WASHINGTON,ARICKAREE R-2,3040.0,0.0,0.0,0.0,0.0,0.0
161,WASHINGTON,OTIS R-3,3050.0,0.0,0.0,0.0,0.0,0.0
162,WASHINGTON,LONE STAR 101,3060.0,3.0,1.0,33.3,1.0,33.3
163,WASHINGTON,WOODLIN R-104,3070.0,0.0,0.0,0.0,0.0,0.0
164,WELD,WELD COUNTY RE-1,3080.0,14.0,10.0,71.4,11.0,78.6
165,WELD,EATON RE-2,3085.0,2.0,1.0,50.0,1.0,50.0
166,WELD,KEENESBURG RE-3(J),3090.0,12.0,9.0,75.0,9.0,75.0
167,WELD,WINDSOR RE-4,3100.0,23.0,15.0,65.2,15.0,65.2
168,WELD,JOHNSTOWN-MILLIKEN RE-5J,3110.0,8.0,7.0,87.5,7.0,87.5
169,WELD,GREELEY 6,3120.0,148.0,93.0,62.8,97.0,65.5
170,WELD,PLATTE VALLEY RE-7,3130.0,6.0,5.0,83.3,5.0,83.3
171,WELD,WELD COUNTY S/D RE-8,3140.0,18.0,8.0,44.4,9.0,50.0
172,WELD,AULT-HIGHLAND RE-9,3145.0,7.0,7.0,100.0,7.0,100.0
173,WELD,BRIGGSDALE RE-10,3146.0,1.0,1.0,100.0,1.0,100.0
174,WELD,PRAIRIE RE-11,3147.0,1.0,1.0,100.0,1.0,100.0
175,WELD,PAWNEE RE-12,3148.0,0.0,0.0,0.0,0.0,0.0
176,YUMA,YUMA 1,3200.0,1.0,0.0,0.0,0.0,0.0
177,YUMA,WRAY RD-2,3210.0,6.0,5.0,83.3,5.0,83.3
178,YUMA,IDALIA RJ-3,3220.0,1.0,1.0,100.0,1.0,100.0
179,YUMA,LIBERTY J-4,3230.0,1.0,1.0,100.0,1.0,100.0
180,DENVER,CHARTER SCHOOL INSTITUTE,8001.0,111.0,16.0,14.4,17.0,15.3
181,COLORADO BOCS,MOUNTAIN BOCES,9030.0,19.0,14.0,73.7,16.0,84.2
182,COLORADO BOCS,CENTENNIAL BOCES,9035.0,6.0,1.0,16.7,1.0,16.7
183,COLORADO BOCS,SAN JUAN BOCES,9050.0,1.0,0.0,0.0,0.0,0.0
184,COLORADO BOCS,EXPEDITIONARY BOCES,9130.0,2.0,2.0,100.0,2.0,100.0
185,STATE TOTAL,STATE TOTAL,9999.0,5775.0,3099.0,53.7,3222.0,55.8
186,STATE TOTAL,STATE TOTAL,9999.0,5775.0,3099.0,53.7,3222.0,55.8
