,year,policedistrict,Aggravated Assault,All Other Offenses,Arson,Burglary,Curfew Violations,DUI,Disorderly Conduct,Drug Violations,Embezzlement,Forcible Rape,Forgery,Fraud,Gambling,Larceny,Liquor Law Violations,Motor Vehicle Theft,Murder Non Negligent Manslaughter,Other Assaults,Other Family Offenses,Other Sex Offenses,Prostitution,Rape,Robbery,Runaways,Stolen Property,Vagrancy,Vandalism,Weapons
42,2001.0,Cortez PD,4.0,445.0,0.0,5.0,0.0,96.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0,37.0,17.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,9.0,2.0
43,2001.0,Costilla County Sheriff,14.0,28.0,0.0,1.0,0.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,6.0,3.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0
44,2001.0,Craig PD,7.0,137.0,0.0,11.0,0.0,37.0,14.0,15.0,0.0,2.0,3.0,17.0,0.0,26.0,23.0,0.0,0.0,0.0,12.0,1.0,0.0,,0.0,0.0,1.0,0.0,15.0,3.0
45,2001.0,Cripple Creek PD,9.0,93.0,1.0,0.0,0.0,43.0,29.0,9.0,0.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0
46,2001.0,Crowley County Sheriff,5.0,94.0,0.0,0.0,0.0,56.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
47,2001.0,Custer County Sheriff,5.0,9.0,0.0,3.0,0.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,1.0,0.0,2.0,0.0
48,2001.0,De Beque PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
49,2001.0,Delta County Sheriff,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
50,2001.0,Delta PD,0.0,4.0,0.0,0.0,0.0,29.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0
51,2001.0,Denver PD,898.0,12641.0,17.0,301.0,0.0,2907.0,5193.0,5081.0,2.0,81.0,160.0,76.0,14.0,3929.0,4404.0,542.0,46.0,0.0,235.0,441.0,1078.0,,235.0,0.0,21.0,611.0,1306.0,587.0
52,2001.0,Dillon PD,1.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
53,2001.0,Dolores County Sheriff,0.0,19.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
54,2001.0,Douglas County Sheriff,29.0,611.0,0.0,19.0,0.0,362.0,17.0,218.0,1.0,8.0,0.0,69.0,0.0,317.0,247.0,6.0,2.0,0.0,19.0,26.0,0.0,,6.0,0.0,7.0,0.0,40.0,8.0
55,2001.0,Durango PD,5.0,433.0,0.0,16.0,0.0,508.0,15.0,76.0,0.0,5.0,4.0,28.0,0.0,77.0,21.0,4.0,0.0,0.0,40.0,2.0,0.0,,0.0,0.0,0.0,0.0,37.0,9.0
56,2001.0,Eagle County Sheriff,11.0,563.0,0.0,17.0,0.0,194.0,39.0,48.0,3.0,2.0,12.0,53.0,0.0,29.0,49.0,2.0,1.0,0.0,5.0,4.0,0.0,,0.0,0.0,2.0,0.0,30.0,4.0
57,2001.0,Eaton PD,1.0,79.0,0.0,0.0,0.0,64.0,1.0,9.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0
58,2001.0,El Paso County Sheriff,114.0,484.0,3.0,70.0,0.0,402.0,412.0,181.0,11.0,5.0,16.0,31.0,0.0,126.0,66.0,20.0,4.0,0.0,52.0,39.0,5.0,,4.0,0.0,5.0,1.0,101.0,37.0
59,2001.0,Elbert County Sheriff,0.0,10.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
60,2001.0,Elizabeth PD,1.0,58.0,0.0,0.0,0.0,36.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,7.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0
