,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
116,MONTROSE,WEST END RE-2,2190.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
117,MORGAN,BRUSH RE-2(J),2395.0,142.0,132.0,93.0,10.0,7.0,11.0,7.7
118,MORGAN,FORT MORGAN RE-3,2405.0,172.0,161.0,93.6,11.0,6.4,11.0,6.4
119,MORGAN,WELDON VALLEY RE-20(J),2505.0,18.0,15.0,83.3,3.0,16.7,3.0,16.7
120,MORGAN,WIGGINS RE-50(J),2515.0,30.0,28.0,93.3,2.0,6.7,2.0,6.7
121,OTERO,EAST OTERO R-1,2520.0,13.0,12.0,92.3,1.0,7.7,1.0,7.7
122,OTERO,ROCKY FORD R-2,2530.0,24.0,22.0,91.7,2.0,8.3,3.0,12.5
123,OTERO,MANZANOLA 3J,2535.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
124,OTERO,FOWLER R-4J,2540.0,22.0,22.0,100.0,0.0,0.0,0.0,0.0
125,OTERO,CHERAW 31,2560.0,13.0,11.0,84.6,2.0,15.4,2.0,15.4
126,OTERO,SWINK 33,2570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,OURAY,OURAY R-1,2580.0,29.0,25.0,86.2,4.0,13.8,4.0,13.8
128,OURAY,RIDGWAY R-2,2590.0,29.0,28.0,96.6,1.0,3.4,1.0,3.4
129,PARK,PLATTE CANYON 1,2600.0,116.0,100.0,86.2,16.0,13.8,17.0,14.7
130,PARK,PARK COUNTY RE-2,2610.0,44.0,40.0,90.9,4.0,9.1,4.0,9.1
131,PHILLIPS,HOLYOKE RE-1J,2620.0,36.0,35.0,97.2,1.0,2.8,1.0,2.8
132,PHILLIPS,HAXTUN RE-2J,2630.0,17.0,17.0,100.0,0.0,0.0,0.0,0.0
133,PITKIN,ASPEN 1,2640.0,98.0,91.0,92.9,7.0,7.1,7.0,7.1
134,PROWERS,GRANADA RE-1,2650.0,14.0,12.0,85.7,2.0,14.3,2.0,14.3
135,PROWERS,LAMAR RE-2,2660.0,127.0,112.0,88.2,15.0,11.8,16.0,12.6
136,PROWERS,HOLLY RE-3,2670.0,32.0,28.0,87.5,4.0,12.5,4.0,12.5
137,PROWERS,WILEY RE-13 JT,2680.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0
138,PUEBLO,PUEBLO CITY 60,2690.0,1129.0,998.0,88.4,126.0,11.2,138.0,12.2
139,PUEBLO,PUEBLO COUNTY 70,2700.0,796.0,713.0,89.6,83.0,10.4,89.0,11.2
140,RIO BLANCO,MEEKER RE1,2710.0,28.0,28.0,100.0,0.0,0.0,0.0,0.0
141,RIO BLANCO,RANGELY RE-4,2720.0,14.0,11.0,78.6,3.0,21.4,3.0,21.4
142,RIO GRANDE,DEL NORTE C-7,2730.0,9.0,7.0,77.8,2.0,22.2,2.0,22.2
143,RIO GRANDE,MONTE VISTA C-8,2740.0,6.0,5.0,83.3,1.0,16.7,1.0,16.7
144,RIO GRANDE,SARGENT RE-33J,2750.0,15.0,15.0,100.0,0.0,0.0,0.0,0.0
145,ROUTT,HAYDEN RE-1,2760.0,13.0,13.0,100.0,0.0,0.0,0.0,0.0
146,ROUTT,STEAMBOAT SPRINGS RE-2,2770.0,196.0,190.0,96.9,6.0,3.1,6.0,3.1
147,ROUTT,SOUTH ROUTT RE 3,2780.0,11.0,9.0,81.8,2.0,18.2,2.0,18.2
148,SAGUACHE,MOUNTAIN VALLEY RE 1,2790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,SAGUACHE,MOFFAT 2,2800.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
150,SAGUACHE,CENTER 26 JT,2810.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
151,SAN JUAN,SILVERTON 1,2820.0,13.0,9.0,69.2,4.0,30.8,4.0,30.8
152,SAN MIGUEL,TELLURIDE R-1,2830.0,35.0,33.0,94.3,2.0,5.7,2.0,5.7
153,SAN MIGUEL,NORWOOD R-2J,2840.0,26.0,24.0,92.3,2.0,7.7,2.0,7.7
154,SEDGWICK,JULESBURG RE-1,2862.0,20.0,15.0,75.0,5.0,25.0,5.0,25.0
155,SEDGWICK,PLATTE VALLEY RE-3,2865.0,3.0,2.0,66.7,1.0,33.3,1.0,33.3
156,SUMMIT,SUMMIT RE-1,3000.0,245.0,212.0,86.5,33.0,13.5,34.0,13.9
157,TELLER,CRIPPLE CREEK-VICTOR RE-1,3010.0,8.0,5.0,62.5,3.0,37.5,3.0,37.5
158,TELLER,WOODLAND PARK RE-2,3020.0,74.0,62.0,83.8,12.0,16.2,12.0,16.2
159,WASHINGTON,AKRON R-1,3030.0,17.0,17.0,100.0,0.0,0.0,0.0,0.0
